season,winner,winner_country,second_place,second_place_country
1980–81,Liverpool,England,Real Madrid,Spain
1981–82,Aston Villa,England,Bayern Munich,Germany
1982–83,Hamburger SV,Germany,Juventus,Italy
1983–84,Liverpool,England,Roma,Italy
1984–85,Juventus,Italy,Liverpool,England
1985–86,Steaua București,Romania,Barcelona,Spain
1986–87,Porto,Portugal,Bayern Munich,Germany
1987–88,PSV Eindhoven,Netherlands,Benfica,Portugal
1988–89,Milan,Italy,Steaua București,Romania
1989–90,Milan,Italy,Benfica,Portugal
1990–91,Red Star Belgrade,Yugoslavia,Olympique de Marseille,France
1991–92,Barcelona,Spain,Sampdoria,Italy
1992–93,Olympique de Marseille,France,Milan,Italy
1993–94,Milan,Italy,Barcelona,Spain
1994–95,Ajax,Netherlands,Milan,Italy
1995–96,Juventus,Italy,Ajax,Netherlands
1996–97,Borussia Dortmund,Germany,Juventus,Italy
1997–98,Real Madrid,Spain,Juventus,Italy
1998–99,Manchester United,England,Bayern Munich,Germany
1999–2000,Real Madrid,Spain,Valencia,Spain
2000–01,Bayern Munich,Germany,Valencia,Spain
2001–02,Real Madrid,Spain,Bayer Leverkusen,Germany
2002–03,Milan,Italy,Juventus,Italy
2003–04,Porto,Portugal,Monaco,France
2004–05,Liverpool,England,Milan,Italy
2005–06,Barcelona,Spain,Arsenal,England
2006–07,Milan,Italy,Liverpool,England
2007–08,Manchester United,England,Chelsea,England
2008–09,Barcelona,Spain,Manchester United,England
2009–10,Inter Milan,Italy,Bayern Munich,Germany
2010–11,Barcelona,Spain,Manchester United,England
2011–12,Chelsea,England,Bayern Munich,Germany
2012–13,Bayern Munich,Germany,Borussia Dortmund,Germany
2013–14,Real Madrid,Spain,Atlético Madrid,Spain
2014–15,Barcelona,Spain,Juventus,Italy
2015–16,Real Madrid,Spain,Atlético Madrid,Spain
2016–17,Real Madrid,Spain,Juventus,Italy
2017–18,Real Madrid,Spain,Liverpool,England
2018–19,Liverpool,England,Tottenham Hotspur,England
2019–20,Bayern Munich,Germany,Paris Saint-Germain,France
2020–21,Chelsea,England,Manchester City,England
2021–22,Real Madrid,Spain,Liverpool,England
2022–23,Manchester City,England,Inter Milan,Italy